Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:46 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,HEAT (kcal/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 40 ,6/7/2016 2:30:25 AM , 0.5634435 ,6/7/2016 2:32:25 AM , 0.7554141 ,6/7/2016 2:34:25 AM , 0.554852 ,6/7/2016 2:36:25 AM , 0.5890272 ,6/7/2016 2:40:25 AM , 0.5377139 ,6/7/2016 2:42:25 AM , 0.4825784 ,6/7/2016 2:44:25 AM , 0.4589751 ,6/7/2016 2:46:25 AM , 0.4571381 ,
 41 ,6/7/2016 2:50:25 AM , 0.5553488 ,6/7/2016 2:52:25 AM , 0.6225759 ,6/7/2016 2:54:25 AM , 0.5145169 ,6/7/2016 2:56:25 AM , 0.5353147 ,6/7/2016 3:00:25 AM , 0.4806196 ,6/7/2016 3:02:25 AM , 0.3869217 ,6/7/2016 3:04:25 AM , 0.4381946 ,6/7/2016 3:06:25 AM , 0.4536553 ,
 42 ,6/7/2016 3:10:25 AM , 0.5622883 ,6/7/2016 3:12:25 AM , 0.550292 ,6/7/2016 3:14:25 AM , 0.3414463 ,6/7/2016 3:16:25 AM , 0.5526033 ,6/7/2016 3:20:25 AM , 0.4012461 ,6/7/2016 3:22:25 AM , 0.456205 ,6/7/2016 3:24:25 AM , 0.5213583 ,6/7/2016 3:26:25 AM , 0.5714742 ,
 43 ,6/7/2016 3:30:25 AM , 0.4476842 ,6/7/2016 3:32:25 AM , 0.5764621 ,6/7/2016 3:34:25 AM , 0.6914831 ,6/7/2016 3:36:25 AM , 0.5564366 ,6/7/2016 3:40:25 AM , 0.4544989 ,6/7/2016 3:42:25 AM , 0.4616349 ,6/7/2016 3:44:25 AM , 0.3987327 ,6/7/2016 3:46:25 AM , 0.4222137 ,
 44 ,6/7/2016 3:50:25 AM , 0.4976487 ,6/7/2016 3:52:25 AM , 0.7778787 ,6/7/2016 3:54:25 AM , 0.5667847 ,6/7/2016 3:56:25 AM , 0.3842719 ,6/7/2016 4:00:25 AM , 0.4400853 ,6/7/2016 4:02:25 AM , 0.3810921 ,6/7/2016 4:04:25 AM , 0.4190062 ,6/7/2016 4:06:25 AM , 0.493006 ,
 45 ,6/7/2016 4:10:25 AM , 0.531253 ,6/7/2016 4:12:25 AM , 0.7952939 ,6/7/2016 4:14:25 AM , 0.5692714 ,6/7/2016 4:16:25 AM , 0.5752535 ,6/7/2016 4:20:25 AM , 0.5921826 ,6/7/2016 4:22:25 AM , 0.4401037 ,6/7/2016 4:24:25 AM , 0.4129519 ,6/7/2016 4:26:25 AM , 0.6410455 ,
 46 ,6/7/2016 4:30:25 AM , 0.5793838 ,6/7/2016 4:32:25 AM , 0.719473 ,6/7/2016 4:34:25 AM , 0.5513978 ,6/7/2016 4:36:25 AM , 0.5251515 ,6/7/2016 4:40:25 AM , 0.5925073 ,6/7/2016 4:42:25 AM , 0.4425694 ,6/7/2016 4:44:25 AM , 0.5365675 ,6/7/2016 4:46:25 AM , 0.6100644 ,
 47 ,6/7/2016 4:50:25 AM , 0.5962079 ,6/7/2016 4:52:25 AM , 0.5209545 ,6/7/2016 4:54:25 AM , 0.4146723 ,6/7/2016 4:56:25 AM , 0.6006659 ,6/7/2016 5:00:25 AM , 0.5781979 ,6/7/2016 5:02:25 AM , 0.5094198 ,6/7/2016 5:04:25 AM , 0.4239878 ,6/7/2016 5:06:25 AM , 0.606214 ,
 48 ,6/7/2016 5:10:25 AM , 0.4377986 ,6/7/2016 5:12:25 AM , 0.7992926 ,6/7/2016 5:14:25 AM , 0.6675299 ,6/7/2016 5:16:25 AM , 0.5871999 ,6/7/2016 5:20:25 AM , 0.5994887 ,6/7/2016 5:22:25 AM , 0.3998392 ,6/7/2016 5:24:25 AM , 0.5770248 ,6/7/2016 5:26:25 AM , 0.532863 ,
 49 ,6/7/2016 5:30:25 AM , 0.5641074 ,6/7/2016 5:32:25 AM , 0.7845827 ,6/7/2016 5:34:25 AM , 0.5717098 ,6/7/2016 5:36:25 AM , 0.5568971 ,6/7/2016 5:40:25 AM , 0.5775273 ,6/7/2016 5:42:25 AM , 0.6163625 ,6/7/2016 5:44:25 AM , 0.5540928 ,6/7/2016 5:46:25 AM , 0.5561479 ,
