Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:48 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,XAMB (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 51 ,6/7/2016 6:10:25 AM , 974 ,6/7/2016 6:12:25 AM , 1784 ,6/7/2016 6:14:25 AM , 1068 ,6/7/2016 6:16:25 AM , 810 ,6/7/2016 6:20:25 AM , 856 ,6/7/2016 6:22:25 AM , 927 ,6/7/2016 6:24:25 AM , 661 ,6/7/2016 6:26:25 AM , 705 ,
 52 ,6/7/2016 6:30:25 AM , 49 ,6/7/2016 6:32:25 AM , 533 ,6/7/2016 6:34:25 AM , 116 ,6/7/2016 6:36:25 AM , 450 ,6/7/2016 6:40:25 AM , 444 ,6/7/2016 6:42:25 AM , 616 ,6/7/2016 6:44:25 AM , 994 ,6/7/2016 6:46:25 AM , 242 ,
 53 ,6/7/2016 6:50:25 AM , 1163 ,6/7/2016 6:52:25 AM , 517 ,6/7/2016 6:54:25 AM , 8 ,6/7/2016 6:56:25 AM , 695 ,6/7/2016 7:00:25 AM , 20 ,6/7/2016 7:02:25 AM , 35 ,6/7/2016 7:04:25 AM , 135 ,6/7/2016 7:06:25 AM , 382 ,
 54 ,6/7/2016 7:10:25 AM , 496 ,6/7/2016 7:12:25 AM , 26 ,6/7/2016 7:14:25 AM , 420 ,6/7/2016 7:16:25 AM , 176 ,6/7/2016 7:20:25 AM , 1399 ,6/7/2016 7:22:25 AM , 353 ,6/7/2016 7:24:25 AM , 2 ,6/7/2016 7:26:25 AM , 726 ,
 55 ,6/7/2016 7:30:25 AM , 7 ,6/7/2016 7:32:25 AM , 60 ,6/7/2016 7:34:25 AM , 1392 ,6/7/2016 7:36:25 AM , 315 ,6/7/2016 7:40:25 AM , 634 ,6/7/2016 7:42:25 AM , 389 ,6/7/2016 7:44:25 AM , 378 ,6/7/2016 7:46:25 AM , 161 ,
 56 ,6/7/2016 7:50:25 AM , 559 ,6/7/2016 7:52:25 AM , 1399 ,6/7/2016 7:54:25 AM , 262 ,6/7/2016 7:56:25 AM , 8 ,6/7/2016 8:00:25 AM , 20 ,6/7/2016 8:02:25 AM , 65 ,6/7/2016 8:04:25 AM , 19 ,6/7/2016 8:06:25 AM , 24 ,
 57 ,6/7/2016 8:10:25 AM , 686 ,6/7/2016 8:12:25 AM , 265 ,6/7/2016 8:14:25 AM , 8 ,6/7/2016 8:16:25 AM , 513 ,6/7/2016 8:20:25 AM , 440 ,6/7/2016 8:22:25 AM , 1164 ,6/7/2016 8:24:25 AM , 4 ,6/7/2016 8:26:25 AM , 57 ,
 58 ,6/7/2016 8:30:25 AM , 38 ,6/7/2016 8:32:25 AM , 7 ,6/7/2016 8:34:25 AM , 871 ,6/7/2016 8:36:25 AM , 855 ,6/7/2016 8:40:25 AM , 774 ,6/7/2016 8:42:25 AM , 358 ,6/7/2016 8:44:25 AM , 191 ,6/7/2016 8:46:25 AM , 735 ,
 59 ,6/7/2016 8:50:25 AM , 406 ,6/7/2016 8:52:25 AM , 594 ,6/7/2016 8:54:25 AM , 1090 ,6/7/2016 8:56:25 AM , 791 ,6/7/2016 9:00:25 AM , 736 ,6/7/2016 9:02:25 AM , 481 ,6/7/2016 9:04:25 AM , 62 ,6/7/2016 9:06:25 AM , 30 ,
 60 ,6/7/2016 9:10:25 AM , 328 ,6/7/2016 9:12:25 AM , 1029 ,6/7/2016 9:14:25 AM , 70 ,6/7/2016 9:16:25 AM , 20 ,6/7/2016 9:20:25 AM , 2 ,6/7/2016 9:22:25 AM , 25 ,6/7/2016 9:24:25 AM , 21 ,6/7/2016 9:26:25 AM , 400 ,
