Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:41 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,VO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 33 ,6/7/2016 12:10:25 AM , 4001.712 ,6/7/2016 12:12:25 AM , 4966.11 ,6/7/2016 12:14:25 AM , 2672.14 ,6/7/2016 12:16:25 AM , 3569.385 ,6/7/2016 12:20:25 AM , 4040.11 ,6/7/2016 12:22:25 AM , 2959.732 ,6/7/2016 12:24:25 AM , 4040.819 ,6/7/2016 12:26:25 AM , 3589.864 ,
 34 ,6/7/2016 12:30:25 AM , 3763.142 ,6/7/2016 12:32:25 AM , 3137.123 ,6/7/2016 12:34:25 AM , 4010.487 ,6/7/2016 12:36:25 AM , 3449.966 ,6/7/2016 12:40:25 AM , 3795.817 ,6/7/2016 12:42:25 AM , 3966.46 ,6/7/2016 12:44:25 AM , 3239.571 ,6/7/2016 12:46:25 AM , 3746.611 ,
 35 ,6/7/2016 12:50:25 AM , 3819.062 ,6/7/2016 12:52:25 AM , 5579.992 ,6/7/2016 12:54:25 AM , 3118.591 ,6/7/2016 12:56:25 AM , 3066.27 ,6/7/2016 1:00:25 AM , 3706.799 ,6/7/2016 1:02:25 AM , 3670.899 ,6/7/2016 1:04:25 AM , 3988.203 ,6/7/2016 1:06:25 AM , 3213.236 ,
 36 ,6/7/2016 1:10:25 AM , 3735.558 ,6/7/2016 1:12:25 AM , 5061.419 ,6/7/2016 1:14:25 AM , 2691.67 ,6/7/2016 1:16:25 AM , 3044.748 ,6/7/2016 1:20:25 AM , 3733.538 ,6/7/2016 1:22:25 AM , 2860.463 ,6/7/2016 1:24:25 AM , 4177.979 ,6/7/2016 1:26:25 AM , 3709.646 ,
 37 ,6/7/2016 1:30:25 AM , 3719.006 ,6/7/2016 1:32:25 AM , 3509.182 ,6/7/2016 1:34:25 AM , 2537.523 ,6/7/2016 1:36:25 AM , 3047.707 ,6/7/2016 1:40:25 AM , 3942.468 ,6/7/2016 1:42:25 AM , 4125.892 ,6/7/2016 1:44:25 AM , 3214.958 ,6/7/2016 1:46:25 AM , 3838.76 ,
 38 ,6/7/2016 1:50:25 AM , 2804.528 ,6/7/2016 1:52:25 AM , 3810.526 ,6/7/2016 1:54:25 AM , 3691.668 ,6/7/2016 1:56:25 AM , 4082.455 ,6/7/2016 2:00:25 AM , 3864.147 ,6/7/2016 2:02:25 AM , 3836.861 ,6/7/2016 2:04:25 AM , 3768.338 ,6/7/2016 2:06:25 AM , 3777.441 ,
 39 ,6/7/2016 2:10:25 AM , 3952.054 ,6/7/2016 2:12:25 AM , 5173.645 ,6/7/2016 2:14:25 AM , 3808.159 ,6/7/2016 2:16:25 AM , 3884.379 ,6/7/2016 2:20:25 AM , 3980.008 ,6/7/2016 2:22:25 AM , 3713.451 ,6/7/2016 2:24:25 AM , 3789.055 ,6/7/2016 2:26:25 AM , 2978.765 ,
 40 ,6/7/2016 2:30:25 AM , 3825.482 ,6/7/2016 2:32:25 AM , 5061.583 ,6/7/2016 2:34:25 AM , 3643.784 ,6/7/2016 2:36:25 AM , 3855.117 ,6/7/2016 2:40:25 AM , 3882.515 ,6/7/2016 2:42:25 AM , 3537.055 ,6/7/2016 2:44:25 AM , 3428.114 ,6/7/2016 2:46:25 AM , 2883.519 ,
 41 ,6/7/2016 2:50:25 AM , 3804.468 ,6/7/2016 2:52:25 AM , 4187.939 ,6/7/2016 2:54:25 AM , 3395.639 ,6/7/2016 2:56:25 AM , 3535.241 ,6/7/2016 3:00:25 AM , 3479.575 ,6/7/2016 3:02:25 AM , 2877.806 ,6/7/2016 3:04:25 AM , 3278.528 ,6/7/2016 3:06:25 AM , 2863.845 ,
 42 ,6/7/2016 3:10:25 AM , 3887.235 ,6/7/2016 3:12:25 AM , 3720.281 ,6/7/2016 3:14:25 AM , 2251.817 ,6/7/2016 3:16:25 AM , 3634.264 ,6/7/2016 3:20:25 AM , 2940.864 ,6/7/2016 3:22:25 AM , 3335.052 ,6/7/2016 3:24:25 AM , 3835.005 ,6/7/2016 3:26:25 AM , 3604.576 ,
 43 ,6/7/2016 3:30:25 AM , 3077.02 ,6/7/2016 3:32:25 AM , 3897.753 ,6/7/2016 3:34:25 AM , 4594.185 ,6/7/2016 3:36:25 AM , 3645.831 ,6/7/2016 3:40:25 AM , 3300.201 ,6/7/2016 3:42:25 AM , 3369.597 ,6/7/2016 3:44:25 AM , 2975.519 ,6/7/2016 3:46:25 AM , 2673.129 ,
 44 ,6/7/2016 3:50:25 AM , 3439.416 ,6/7/2016 3:52:25 AM , 5259.438 ,6/7/2016 3:54:25 AM , 3722.576 ,6/7/2016 3:56:25 AM , 2532.67 ,6/7/2016 4:00:25 AM , 3211.802 ,6/7/2016 4:02:25 AM , 2802.886 ,6/7/2016 4:04:25 AM , 3145.069 ,6/7/2016 4:06:25 AM , 3143.441 ,
