Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:47 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,FEED1 ACC (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 46 ,6/7/2016 4:30:25 AM , 2.06 ,6/7/2016 4:32:25 AM , 3.05 ,6/7/2016 4:34:25 AM , 2.9 ,6/7/2016 4:36:25 AM , 2.54 ,6/7/2016 4:40:25 AM , 1.82 ,6/7/2016 4:42:25 AM , 2.17 ,6/7/2016 4:44:25 AM , 3.37 ,6/7/2016 4:46:25 AM , 2.17 ,
 47 ,6/7/2016 4:50:25 AM , 2.19 ,6/7/2016 4:52:25 AM , 3.05 ,6/7/2016 4:54:25 AM , 2.9 ,6/7/2016 4:56:25 AM , 2.63 ,6/7/2016 5:00:25 AM , 1.96 ,6/7/2016 5:02:25 AM , 2.41 ,6/7/2016 5:04:25 AM , 3.37 ,6/7/2016 5:06:25 AM , 2.19 ,
 48 ,6/7/2016 5:10:25 AM , 2.24 ,6/7/2016 5:12:25 AM , 3.12 ,6/7/2016 5:14:25 AM , 2.9 ,6/7/2016 5:16:25 AM , 2.76 ,6/7/2016 5:20:25 AM , 2 ,6/7/2016 5:22:25 AM , 2.41 ,6/7/2016 5:24:25 AM , 3.48 ,6/7/2016 5:26:25 AM , 2.22 ,
 49 ,6/7/2016 5:30:25 AM , 2.33 ,6/7/2016 5:32:25 AM , 3.32 ,6/7/2016 5:34:25 AM , 3.04 ,6/7/2016 5:36:25 AM , 2.88 ,6/7/2016 5:40:25 AM , 1.99 ,6/7/2016 5:42:25 AM , 2.49 ,6/7/2016 5:44:25 AM , 3.7 ,6/7/2016 5:46:25 AM , 2.33 ,
 50 ,6/7/2016 5:50:25 AM , 2.36 ,6/7/2016 5:52:25 AM , 3.45 ,6/7/2016 5:54:25 AM , 3.13 ,6/7/2016 5:56:25 AM , 2.88 ,6/7/2016 6:00:25 AM , 2.05 ,6/7/2016 6:02:25 AM , 2.53 ,6/7/2016 6:04:25 AM , 3.75 ,6/7/2016 6:06:25 AM , 2.43 ,
 51 ,6/7/2016 6:10:25 AM , 2.39 ,6/7/2016 6:12:25 AM , 3.49 ,6/7/2016 6:14:25 AM , 3.25 ,6/7/2016 6:16:25 AM , 2.94 ,6/7/2016 6:20:25 AM , 2.11 ,6/7/2016 6:22:25 AM , 2.65 ,6/7/2016 6:24:25 AM , 3.88 ,6/7/2016 6:26:25 AM , 2.45 ,
 52 ,6/7/2016 6:30:25 AM , 2.38 ,6/7/2016 6:32:25 AM , 3.54 ,6/7/2016 6:34:25 AM , 3.24 ,6/7/2016 6:36:25 AM , 2.98 ,6/7/2016 6:40:25 AM , 2.1 ,6/7/2016 6:42:25 AM , 2.68 ,6/7/2016 6:44:25 AM , 3.98 ,6/7/2016 6:46:25 AM , 2.47 ,
 53 ,6/7/2016 6:50:25 AM , 2.49 ,6/7/2016 6:52:25 AM , 3.56 ,6/7/2016 6:54:25 AM , 3.25 ,6/7/2016 6:56:25 AM , 3.03 ,6/7/2016 7:00:25 AM , 2.11 ,6/7/2016 7:02:25 AM , 2.69 ,6/7/2016 7:04:25 AM , 3.98 ,6/7/2016 7:06:25 AM , 2.47 ,
 54 ,6/7/2016 7:10:25 AM , 2.48 ,6/7/2016 7:12:25 AM , 3.56 ,6/7/2016 7:14:25 AM , 3.25 ,6/7/2016 7:16:25 AM , 3.04 ,6/7/2016 7:20:25 AM , 2.18 ,6/7/2016 7:22:25 AM , 2.71 ,6/7/2016 7:24:25 AM , 3.97 ,6/7/2016 7:26:25 AM , 2.6 ,
 55 ,6/7/2016 7:30:25 AM , 2.49 ,6/7/2016 7:32:25 AM , 3.55 ,6/7/2016 7:34:25 AM , 3.4 ,6/7/2016 7:36:25 AM , 3.1 ,6/7/2016 7:40:25 AM , 2.26 ,6/7/2016 7:42:25 AM , 2.8 ,6/7/2016 7:44:25 AM , 4.05 ,6/7/2016 7:46:25 AM , 2.59 ,
