Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:48 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,YAMB (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 49 ,6/7/2016 5:30:25 AM , 1064 ,6/7/2016 5:32:25 AM , 459 ,6/7/2016 5:34:25 AM , 475 ,6/7/2016 5:36:25 AM , 758 ,6/7/2016 5:40:25 AM , 1014 ,6/7/2016 5:42:25 AM , 186 ,6/7/2016 5:44:25 AM , 861 ,6/7/2016 5:46:25 AM , 476 ,
 50 ,6/7/2016 5:50:25 AM , 629 ,6/7/2016 5:52:25 AM , 522 ,6/7/2016 5:54:25 AM , 358 ,6/7/2016 5:56:25 AM , 564 ,6/7/2016 6:00:25 AM , 817 ,6/7/2016 6:02:25 AM , 444 ,6/7/2016 6:04:25 AM , 459 ,6/7/2016 6:06:25 AM , 598 ,
 51 ,6/7/2016 6:10:25 AM , 561 ,6/7/2016 6:12:25 AM , 606 ,6/7/2016 6:14:25 AM , 612 ,6/7/2016 6:16:25 AM , 373 ,6/7/2016 6:20:25 AM , 450 ,6/7/2016 6:22:25 AM , 423 ,6/7/2016 6:24:25 AM , 572 ,6/7/2016 6:26:25 AM , 556 ,
 52 ,6/7/2016 6:30:25 AM , 17 ,6/7/2016 6:32:25 AM , 352 ,6/7/2016 6:34:25 AM , 111 ,6/7/2016 6:36:25 AM , 250 ,6/7/2016 6:40:25 AM , 281 ,6/7/2016 6:42:25 AM , 342 ,6/7/2016 6:44:25 AM , 983 ,6/7/2016 6:46:25 AM , 203 ,
 53 ,6/7/2016 6:50:25 AM , 678 ,6/7/2016 6:52:25 AM , 268 ,6/7/2016 6:54:25 AM , 10 ,6/7/2016 6:56:25 AM , 442 ,6/7/2016 7:00:25 AM , 29 ,6/7/2016 7:02:25 AM , 43 ,6/7/2016 7:04:25 AM , 295 ,6/7/2016 7:06:25 AM , 223 ,
 54 ,6/7/2016 7:10:25 AM , 236 ,6/7/2016 7:12:25 AM , 20 ,6/7/2016 7:14:25 AM , 165 ,6/7/2016 7:16:25 AM , 100 ,6/7/2016 7:20:25 AM , 771 ,6/7/2016 7:22:25 AM , 138 ,6/7/2016 7:24:25 AM , 9 ,6/7/2016 7:26:25 AM , 415 ,
 55 ,6/7/2016 7:30:25 AM , 6 ,6/7/2016 7:32:25 AM , 55 ,6/7/2016 7:34:25 AM , 686 ,6/7/2016 7:36:25 AM , 173 ,6/7/2016 7:40:25 AM , 373 ,6/7/2016 7:42:25 AM , 202 ,6/7/2016 7:44:25 AM , 348 ,6/7/2016 7:46:25 AM , 236 ,
 56 ,6/7/2016 7:50:25 AM , 312 ,6/7/2016 7:52:25 AM , 534 ,6/7/2016 7:54:25 AM , 250 ,6/7/2016 7:56:25 AM , 1 ,6/7/2016 8:00:25 AM , 7 ,6/7/2016 8:02:25 AM , 32 ,6/7/2016 8:04:25 AM , 16 ,6/7/2016 8:06:25 AM , 56 ,
 57 ,6/7/2016 8:10:25 AM , 304 ,6/7/2016 8:12:25 AM , 173 ,6/7/2016 8:14:25 AM , 22 ,6/7/2016 8:16:25 AM , 283 ,6/7/2016 8:20:25 AM , 224 ,6/7/2016 8:22:25 AM , 309 ,6/7/2016 8:24:25 AM , 0 ,6/7/2016 8:26:25 AM , 40 ,
 58 ,6/7/2016 8:30:25 AM , 17 ,6/7/2016 8:32:25 AM , 34 ,6/7/2016 8:34:25 AM , 352 ,6/7/2016 8:36:25 AM , 537 ,6/7/2016 8:40:25 AM , 457 ,6/7/2016 8:42:25 AM , 273 ,6/7/2016 8:44:25 AM , 243 ,6/7/2016 8:46:25 AM , 388 ,
