Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:49 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,ZTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 44 ,6/7/2016 3:50:25 AM , 876 ,6/7/2016 3:52:25 AM , 1383 ,6/7/2016 3:54:25 AM , 860 ,6/7/2016 3:56:25 AM , 229 ,6/7/2016 4:00:25 AM , 0 ,6/7/2016 4:02:25 AM , 0 ,6/7/2016 4:04:25 AM , 0 ,6/7/2016 4:06:25 AM , 21 ,
 45 ,6/7/2016 4:10:25 AM , 582 ,6/7/2016 4:12:25 AM , 1172 ,6/7/2016 4:14:25 AM , 676 ,6/7/2016 4:16:25 AM , 426 ,6/7/2016 4:20:25 AM , 405 ,6/7/2016 4:22:25 AM , 2 ,6/7/2016 4:24:25 AM , 0 ,6/7/2016 4:26:25 AM , 602 ,
 46 ,6/7/2016 4:30:25 AM , 513 ,6/7/2016 4:32:25 AM , 186 ,6/7/2016 4:34:25 AM , 647 ,6/7/2016 4:36:25 AM , 91 ,6/7/2016 4:40:25 AM , 592 ,6/7/2016 4:42:25 AM , 0 ,6/7/2016 4:44:25 AM , 78 ,6/7/2016 4:46:25 AM , 368 ,
 47 ,6/7/2016 4:50:25 AM , 1092 ,6/7/2016 4:52:25 AM , 11 ,6/7/2016 4:54:25 AM , 494 ,6/7/2016 4:56:25 AM , 521 ,6/7/2016 5:00:25 AM , 566 ,6/7/2016 5:02:25 AM , 104 ,6/7/2016 5:04:25 AM , 0 ,6/7/2016 5:06:25 AM , 1115 ,
 48 ,6/7/2016 5:10:25 AM , 633 ,6/7/2016 5:12:25 AM , 931 ,6/7/2016 5:14:25 AM , 536 ,6/7/2016 5:16:25 AM , 987 ,6/7/2016 5:20:25 AM , 262 ,6/7/2016 5:22:25 AM , 4 ,6/7/2016 5:24:25 AM , 213 ,6/7/2016 5:26:25 AM , 827 ,
 49 ,6/7/2016 5:30:25 AM , 1155 ,6/7/2016 5:32:25 AM , 1094 ,6/7/2016 5:34:25 AM , 542 ,6/7/2016 5:36:25 AM , 889 ,6/7/2016 5:40:25 AM , 722 ,6/7/2016 5:42:25 AM , 298 ,6/7/2016 5:44:25 AM , 231 ,6/7/2016 5:46:25 AM , 372 ,
 50 ,6/7/2016 5:50:25 AM , 789 ,6/7/2016 5:52:25 AM , 1665 ,6/7/2016 5:54:25 AM , 247 ,6/7/2016 5:56:25 AM , 596 ,6/7/2016 6:00:25 AM , 366 ,6/7/2016 6:02:25 AM , 538 ,6/7/2016 6:04:25 AM , 58 ,6/7/2016 6:06:25 AM , 540 ,
 51 ,6/7/2016 6:10:25 AM , 706 ,6/7/2016 6:12:25 AM , 1559 ,6/7/2016 6:14:25 AM , 770 ,6/7/2016 6:16:25 AM , 475 ,6/7/2016 6:20:25 AM , 277 ,6/7/2016 6:22:25 AM , 684 ,6/7/2016 6:24:25 AM , 160 ,6/7/2016 6:26:25 AM , 583 ,
 52 ,6/7/2016 6:30:25 AM , 0 ,6/7/2016 6:32:25 AM , 475 ,6/7/2016 6:34:25 AM , 8 ,6/7/2016 6:36:25 AM , 366 ,6/7/2016 6:40:25 AM , 185 ,6/7/2016 6:42:25 AM , 249 ,6/7/2016 6:44:25 AM , 361 ,6/7/2016 6:46:25 AM , 79 ,
 53 ,6/7/2016 6:50:25 AM , 700 ,6/7/2016 6:52:25 AM , 682 ,6/7/2016 6:54:25 AM , 0 ,6/7/2016 6:56:25 AM , 521 ,6/7/2016 7:00:25 AM , 0 ,6/7/2016 7:02:25 AM , 0 ,6/7/2016 7:04:25 AM , 8 ,6/7/2016 7:06:25 AM , 243 ,
