Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:43 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,VCO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 39 ,6/7/2016 2:10:25 AM , 3396.681 ,6/7/2016 2:12:25 AM , 5287.773 ,6/7/2016 2:14:25 AM , 3890.876 ,6/7/2016 2:16:25 AM , 3650.788 ,6/7/2016 2:20:25 AM , 3630.027 ,6/7/2016 2:22:25 AM , 3428.456 ,6/7/2016 2:24:25 AM , 3804.186 ,6/7/2016 2:26:25 AM , 2654.046 ,
 40 ,6/7/2016 2:30:25 AM , 3599.522 ,6/7/2016 2:32:25 AM , 5404.409 ,6/7/2016 2:34:25 AM , 3774.093 ,6/7/2016 2:36:25 AM , 3830.962 ,6/7/2016 2:40:25 AM , 3454.604 ,6/7/2016 2:42:25 AM , 2991.766 ,6/7/2016 2:44:25 AM , 3290.646 ,6/7/2016 2:46:25 AM , 2540.897 ,
 41 ,6/7/2016 2:50:25 AM , 3442.694 ,6/7/2016 2:52:25 AM , 4403.187 ,6/7/2016 2:54:25 AM , 3447.896 ,6/7/2016 2:56:25 AM , 3383.565 ,6/7/2016 3:00:25 AM , 3058.984 ,6/7/2016 3:02:25 AM , 2269.097 ,6/7/2016 3:04:25 AM , 3124.242 ,6/7/2016 3:06:25 AM , 2514.432 ,
 42 ,6/7/2016 3:10:25 AM , 3376.629 ,6/7/2016 3:12:25 AM , 3834.42 ,6/7/2016 3:14:25 AM , 2293.107 ,6/7/2016 3:16:25 AM , 3539.762 ,6/7/2016 3:20:25 AM , 2442.522 ,6/7/2016 3:22:25 AM , 2855.205 ,6/7/2016 3:24:25 AM , 3920.769 ,6/7/2016 3:26:25 AM , 3176.865 ,
 43 ,6/7/2016 3:30:25 AM , 2743.935 ,6/7/2016 3:32:25 AM , 4015.079 ,6/7/2016 3:34:25 AM , 4538.944 ,6/7/2016 3:36:25 AM , 3606.564 ,6/7/2016 3:40:25 AM , 2862.595 ,6/7/2016 3:42:25 AM , 2905.132 ,6/7/2016 3:44:25 AM , 2866.911 ,6/7/2016 3:46:25 AM , 2316.106 ,
 44 ,6/7/2016 3:50:25 AM , 2991.4 ,6/7/2016 3:52:25 AM , 5418.554 ,6/7/2016 3:54:25 AM , 3853.932 ,6/7/2016 3:56:25 AM , 2444.592 ,6/7/2016 4:00:25 AM , 2721.456 ,6/7/2016 4:02:25 AM , 2332.642 ,6/7/2016 4:04:25 AM , 2956.134 ,6/7/2016 4:06:25 AM , 2635.976 ,
 45 ,6/7/2016 4:10:25 AM , 3194.076 ,6/7/2016 4:12:25 AM , 5626.407 ,6/7/2016 4:14:25 AM , 3982.796 ,6/7/2016 4:16:25 AM , 3601.643 ,6/7/2016 4:20:25 AM , 3641.412 ,6/7/2016 4:22:25 AM , 2799.082 ,6/7/2016 4:24:25 AM , 2870.435 ,6/7/2016 4:26:25 AM , 3676.765 ,
 46 ,6/7/2016 4:30:25 AM , 3463.3 ,6/7/2016 4:32:25 AM , 5121.705 ,6/7/2016 4:34:25 AM , 3788.827 ,6/7/2016 4:36:25 AM , 3388.429 ,6/7/2016 4:40:25 AM , 3830.44 ,6/7/2016 4:42:25 AM , 2937.009 ,6/7/2016 4:44:25 AM , 3961.854 ,6/7/2016 4:46:25 AM , 3587.709 ,
 47 ,6/7/2016 4:50:25 AM , 3748.301 ,6/7/2016 4:52:25 AM , 3665.13 ,6/7/2016 4:54:25 AM , 2820.848 ,6/7/2016 4:56:25 AM , 3915.835 ,6/7/2016 5:00:25 AM , 3908.783 ,6/7/2016 5:02:25 AM , 3307.811 ,6/7/2016 5:04:25 AM , 3034.57 ,6/7/2016 5:06:25 AM , 3565.747 ,
 48 ,6/7/2016 5:10:25 AM , 2852.747 ,6/7/2016 5:12:25 AM , 5386.949 ,6/7/2016 5:14:25 AM , 4411.339 ,6/7/2016 5:16:25 AM , 3843.377 ,6/7/2016 5:20:25 AM , 3964.816 ,6/7/2016 5:22:25 AM , 2511.052 ,6/7/2016 5:24:25 AM , 4077.768 ,6/7/2016 5:26:25 AM , 3025.523 ,
